feature,celltype,DEG
CD16+_Monocyte_EXOSC1,CD16+_Monocyte,EXOSC1
CD4+_T_em_GRAP,CD4+_T_em,GRAP
naive_B_ITPA,naive_B,ITPA
naive_B_ADCK5,naive_B,ADCK5
CD16+_Monocyte_VPS29,CD16+_Monocyte,VPS29
CD4+_T_em_TMEM42,CD4+_T_em,TMEM42
CD8+_T_naive_TMX4,CD8+_T_naive,TMX4
CD8+_T_naive_FLT4,CD8+_T_naive,FLT4
CD8+_T_naive_CERS2,CD8+_T_naive,CERS2
CD16+_Monocyte_ANKRA2,CD16+_Monocyte,ANKRA2
CD8+_T_GZMKhi_CCDC65,CD8+_T_GZMKhi,CCDC65
CD8+_T_naive_ASPSCR1,CD8+_T_naive,ASPSCR1
CD16+_Monocyte_KLHDC3,CD16+_Monocyte,KLHDC3
CD56+_NK_S100A6,CD56+_NK,S100A6
CD4+_T_naive_NAP1L2,CD4+_T_naive,NAP1L2
CD16+_Monocyte_CCT8,CD16+_Monocyte,CCT8
CD16+_Monocyte_FAM50A,CD16+_Monocyte,FAM50A
CD8+_T_naive_MCUR1,CD8+_T_naive,MCUR1
CD8+_T_naive_MAF1,CD8+_T_naive,MAF1
CD56+_NK_IDH3G,CD56+_NK,IDH3G
CD8+_T_naive_ATP6V0B,CD8+_T_naive,ATP6V0B
CD4+_T_naive_HSD17B14,CD4+_T_naive,HSD17B14
CD16+_Monocyte_NTMT1,CD16+_Monocyte,NTMT1
CD16+_Monocyte_IMP4,CD16+_Monocyte,IMP4
CD8+_T_naive_ZRSR2,CD8+_T_naive,ZRSR2
CD14+_Monocyte_HDAC1,CD14+_Monocyte,HDAC1
CD8+_T_naive_YIF1A,CD8+_T_naive,YIF1A
atypical_B_FKBP1A,atypical_B,FKBP1A
CD4+_T_naive_RIC3,CD4+_T_naive,RIC3
CD56+_NK_STK16,CD56+_NK,STK16
CD8+_T_naive_DDX49,CD8+_T_naive,DDX49
CD8+_T_naive_NPC2,CD8+_T_naive,NPC2
naive_B_CD1C,naive_B,CD1C
Treg_GRAP,Treg,GRAP
MAIT_HMG20B,MAIT,HMG20B
CD4+_T_cm_SLC22A17,CD4+_T_cm,SLC22A17
naive_B_ASPSCR1,naive_B,ASPSCR1
CD8+_T_naive_CCL28,CD8+_T_naive,CCL28
CD16+_Monocyte_MAGOH,CD16+_Monocyte,MAGOH
CD4+_T_em_PCSK1N,CD4+_T_em,PCSK1N
atypical_B_MZB1,atypical_B,MZB1
CD16+_Monocyte_FLYWCH2,CD16+_Monocyte,FLYWCH2
CD4+_T_cm_TCEAL4,CD4+_T_cm,TCEAL4
CD16+_Monocyte_RPS6KB2,CD16+_Monocyte,RPS6KB2
CD8+_T_naive_RIC3,CD8+_T_naive,RIC3
naive_B_ICMT,naive_B,ICMT
CD4+_T_em_NSMCE1,CD4+_T_em,NSMCE1
CD8+_T_GZMBhi_TCEAL4,CD8+_T_GZMBhi,TCEAL4
CD16+_Monocyte_SSNA1,CD16+_Monocyte,SSNA1
CD16+_Monocyte_ITGB1BP1,CD16+_Monocyte,ITGB1BP1
CD4+_T_naive_RAB11FIP5,CD4+_T_naive,RAB11FIP5
CD16+_Monocyte_IFT27,CD16+_Monocyte,IFT27
CD8+_T_naive_TRIB2,CD8+_T_naive,TRIB2
CD8+_T_naive_NOC2L,CD8+_T_naive,NOC2L
CD4+_T_naive_SLC25A4,CD4+_T_naive,SLC25A4
CD8+_T_naive_MRPL28,CD8+_T_naive,MRPL28
CD8+_T_naive_GLRX3,CD8+_T_naive,GLRX3
Treg_MAF1,Treg,MAF1
CD16+_Monocyte_MRPL28,CD16+_Monocyte,MRPL28
Plasma_Cell_SUSD3,Plasma_Cell,SUSD3
atypical_B_CYB561A3,atypical_B,CYB561A3
CD8+_T_naive_BEX5,CD8+_T_naive,BEX5
CD16+_Monocyte_PLEKHJ1,CD16+_Monocyte,PLEKHJ1
CD8+_T_naive_GRAP,CD8+_T_naive,GRAP
MAIT_ASPSCR1,MAIT,ASPSCR1
CD56+_NK_GLRX3,CD56+_NK,GLRX3
Plasma_Cell_TCEAL4,Plasma_Cell,TCEAL4
naive_B_SLC2A6,naive_B,SLC2A6
CD4+_T_naive_KIF21A,CD4+_T_naive,KIF21A
CD8+_T_naive_PLP2,CD8+_T_naive,PLP2
CD4+_T_naive_PCSK1N,CD4+_T_naive,PCSK1N
CD16+_Monocyte_ACAA1,CD16+_Monocyte,ACAA1
CD16+_Monocyte_SUCLG1,CD16+_Monocyte,SUCLG1
MAIT_TM7SF2,MAIT,TM7SF2
CD8+_T_naive_LGALS1,CD8+_T_naive,LGALS1
Treg_ASPSCR1,Treg,ASPSCR1
MAIT_SELL,MAIT,SELL
CD8+_T_naive_NTAN1,CD8+_T_naive,NTAN1
CD4+_T_em_RHOC,CD4+_T_em,RHOC
CD8+_T_naive_ISOC2,CD8+_T_naive,ISOC2
