"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"atypical_B_ANXA4",8.37412761823142,8.27406640654706,8.30307059806635,8.42578969259721,8.27406640654707,8.50307873987178
"atypical_B_LGALS1",8.86165467585893,8.27406640654706,8.41258009085684,8.9104967657489,8.69215119629628,8.65375005455435
"atypical_B_ATP2A3",8.37412761823142,8.27406640654706,8.3051965701921,8.56306424265253,8.27406640654706,8.55507066561013
"atypical_B_NT5C3A",8.46769671150101,8.66097840823612,8.59704535180909,8.42578969259721,8.49820092479333,8.44914285127614
"atypical_B_S100A6",9.17078565608074,8.27406640654706,8.71040236299451,9.10291681737348,9.28015456450188,9.69485311245909
"atypical_B_CD37",10.8482906447894,9.70261276697561,9.8633106041096,11.0790212017141,9.86714075523708,10.8249452842389
"atypical_B_C16orf74",8.99335536183135,8.82140504966717,8.71901360758693,9.10291681737348,8.49820092479333,8.74610979277921
"atypical_B_GPR18",8.37412761823142,8.27406640654706,8.31095324487184,8.42578969259721,8.27406640654706,8.55507066561013
"atypical_B_PDLIM1",8.71671238864559,8.66097840823612,8.73538758444852,9.00991244537823,8.8630905325607,8.91478448429738
"atypical_B_IRF7",8.37412761823142,8.48045431626057,8.4570705013039,8.42578969259721,8.27406640654706,8.65375005455435
"atypical_B_SMIM14",8.86165467585893,8.48045431626057,8.6166294890055,9.2726668528262,8.69215119629628,9.23470976401238
"atypical_B_DRAP1",8.86165471490124,8.82140504966717,8.77589893517778,9.00991244537822,8.49820092479333,9.10119055897251
"atypical_B_CCL5",8.27406640654706,8.27406640654706,8.54773875911166,8.27406640654706,8.27406640654706,10.079139370271
"atypical_B_ADD1",8.71671238864558,8.48045431626057,8.42542414014981,8.68840428555983,8.27406640654706,8.50307873987178
"atypical_B_PPP1R14A",9.55880476032108,8.27406640654706,8.49494410190209,9.00991244537823,8.8630905325607,8.91478448429739
"atypical_B_VPREB3",8.86165471490124,9.43134710946592,9.02508066131023,9.19028703221375,8.27406640654706,8.6052538963029
"CD16+_Monocyte_TNRC6A",7.98453830385816,7.98559702496211,7.95511171999899,7.96209058986078,7.81196878904098,8.0625217784355
"CD16+_Monocyte_TKT",9.76017388767917,9.32516939111231,9.52290832416671,8.7373893164763,9.99477249283525,9.35130727304415
"CD16+_Monocyte_SHOC2",8.06365284658673,8.30252830074204,8.16849758713092,8.14904218249433,7.81196878904098,8.18988984441488
"CD16+_Monocyte_FBXO34",7.81196878904098,8.01260708942413,7.93844576622359,7.99032748643089,7.81196878904097,7.8545385936622
