"","gi_sc_24","gi_sc_27","gi_sc_31","gi_sc_39","gi_sc_52","gi_sc_55","gi_sc_60"
"atypical_B_FKBP1A",8.62728091358644,8.15738837442705,8.55023409428627,8.80637246249487,8.84819431604669,8.51619658921462,8.78540642919259
"atypical_B_MZB1",7.60183977351343,7.94191310418137,7.3588735518354,7.86413866809648,7.85401269363949,7.73984107774459,7.3588735518354
"atypical_B_CYB561A3",8.50605793500386,7.85249073586941,8.44060857735677,9.16915281523925,9.2203662983823,8.17270611719359,7.26945118352344
"atypical_B_TXN2",8.08235907996718,7.69359627114472,7.69359627114472,7.86978324095165,7.96230413682506,7.49797931539515,7.69359627114472
"CD14+_Monocyte_HDAC1",7.26002005606003,7.16821460035178,7.36774095942073,7.29819657683471,7.30242406911337,7.29031207938341,7.27698557234704
"CD16+_Monocyte_EXOSC1",7.13389677233643,7.18100818594379,7.08767304497023,7.01030562082436,7.00801769785261,7.00125876276109,6.91884583087228
"CD16+_Monocyte_VPS29",8.08020483132111,7.77718323330571,7.99599263033155,8.04817803591635,8.1698702929501,7.90013526450994,8.06680419447932
"CD16+_Monocyte_ANKRA2",6.47136844088143,6.5591839210493,6.54101971583276,6.56622247436337,6.53792919793886,6.59445360181033,6.47325892169677
"CD16+_Monocyte_KLHDC3",6.58086054431041,6.72698200219621,6.69910048800648,6.78483225996599,6.68757458512301,6.81299435939257,6.62987872431783
"CD16+_Monocyte_CCT8",7.70379780208509,7.62689385634268,7.83314486275723,7.93692269363608,7.74329508288291,7.87341585577465,7.93850053179999
"CD16+_Monocyte_FAM50A",7.10543988183819,7.34284235225303,7.06938969811506,7.30946268544541,7.37210181750901,7.47810548777434,7.55657984068662
"CD16+_Monocyte_NTMT1",6.68262581368118,6.8190871420956,6.77920353456501,6.75905792504745,6.802375097085,6.81299435939257,6.55442143902875
"CD16+_Monocyte_IMP4",6.95084924089565,6.81577524693467,7.05656522312238,6.88092304074303,6.83484795252925,6.91098647121407,7.06408585055846
"CD16+_Monocyte_MAGOH",7.54441888149264,7.24985145610052,7.23616792748685,7.58787088390685,7.48434421322596,7.27226005563842,7.61063706807409
"CD16+_Monocyte_FLYWCH2",6.90968567451934,6.89204169295998,7.03018499045861,7.0224351501542,6.95322321283962,7.01562470680816,6.95970724829627
"CD16+_Monocyte_RPS6KB2",6.86686283997403,7.07416074412816,6.68185091939503,7.12406405145883,7.01269587090035,7.08901280336968,7.14848211201062
"CD16+_Monocyte_SSNA1",7.37773729034541,7.58064575602608,7.55053257787059,7.8139054025439,7.75231232435772,7.79920312809357,7.40238865452458
"CD16+_Monocyte_ITGB1BP1",7.17693672603687,7.19587287756564,7.25109579065623,7.29738286249543,7.29882992010874,7.24746433940088,7.03549888559251
"CD16+_Monocyte_IFT27",6.57071245618005,6.59106755569936,6.64759362210745,6.68046555839553,6.68295651310201,6.7336135133551,6.75275579523482
"CD16+_Monocyte_MRPL28",6.86686283997403,6.87173794126906,6.89136052748334,6.99268413763317,7.11665776060531,6.94222522329785,6.71659104541135
"CD16+_Monocyte_PLEKHJ1",7.54441888149264,7.20791002490802,7.59103577598623,7.51271839697204,7.46624857000279,7.27226005563842,7.23590767749745
"CD16+_Monocyte_ACAA1",7.59749917026566,7.59206044877006,7.78924268542674,7.77078122834836,7.70628547230936,7.81831359489111,7.78352094246328
"CD16+_Monocyte_SUCLG1",7.10543988183819,7.07977861824488,7.21304661406808,7.20803478534329,7.06670995776973,7.17041282509812,7.13763714799721
"CD16+_Monocyte_MFSD10",7.54441888149264,7.24088337595596,7.37616125102089,7.51273896344899,7.60099663604244,7.19655658085053,7.12597578787073
"CD16+_Monocyte_ARFIP2",6.56557314057818,6.6202720608654,6.60761978286582,6.60504583307156,6.64298267386038,6.65575087215081,6.6003594713893
"CD16+_Monocyte_PDCL3",7.17693672603687,7.2959300012084,6.9273708067311,7.18410423449994,7.13438577193723,7.06082579998492,6.9952520688765
"CD16+_Monocyte_MCOLN1",7.52491635300619,7.52303975471166,7.46308009792715,7.27693624807955,7.29732118247392,7.26922907693206,7.22236182237975
"CD16+_Monocyte_PSMC2",6.77768330077084,6.77855271627091,6.95456833666719,6.98059596973183,6.77925711402959,7.0027439030321,7.05981236736403
"CD16+_Monocyte_AGPAT2",7.17693672603687,7.19939694841386,7.05775392404805,7.17849803836976,7.08898829683734,7.11665960470998,7.19712120992788
"CD4+_T_cm_SLC22A17",7.31020486612042,7.31947345881963,7.31947345881963,7.3250758898389,7.31947345881963,7.32882754028497,7.31947345881963
"CD4+_T_cm_TCEAL4",7.45611115903809,7.49825005895949,7.45766530239492,7.40383682903988,7.36579058422572,7.42396010799349,7.41032206608052
"CD4+_T_cm_SLC25A4",7.41306310846797,7.38161710784738,7.38161710784738,7.45312649853094,7.43082310390472,7.41654878035372,7.46934658199742
"CD4+_T_em_GRAP",7.55900792916807,7.41042530099634,7.49223915160528,7.42591587810293,7.41042530099634,7.42685214281009,7.74008959432567
"CD4+_T_em_TMEM42",7.49444274730355,7.39624015122549,7.47805400183443,7.57197705491431,7.4818467439108,7.54721775700339,7.79776263492385
"CD4+_T_em_PCSK1N",7.7301265096668,7.55374164234033,7.63555549294928,7.64308233105029,7.55374164234033,7.4976827879544,7.64348414553848
"CD4+_T_em_NSMCE1",7.79174983700629,7.85725403362437,7.86219382009838,7.81282919050826,7.7358186170816,7.81038895030971,7.66710707937118
"CD4+_T_em_RHOC",7.68006717091763,7.5366602739888,7.5366602739888,7.62720292096327,7.70307702071643,7.56633737863172,7.79069876447359
"CD4+_T_em_NSMCE4A",7.9830551979799,7.83350571343523,7.78336850538175,7.83367295921206,7.82813205889363,7.67285751613316,7.79129715797095
"CD4+_T_em_SELL",8.20882091005963,7.79526265031783,8.2923425336547,8.15134661627739,7.81567695924381,7.85771674406089,8.02872089996179
"CD4+_T_em_BEX5",7.55900792916807,7.43003126157747,7.58926731066796,7.5919139245535,7.70976205409688,7.54721775700339,7.51977376477561
"CD4+_T_naive_NAP1L2",7.49555377829128,7.48277555779186,7.50337657362726,7.49580431149198,7.50776837195996,7.49497691447323,7.49187742108221
"CD4+_T_naive_HSD17B14",7.48706394423417,7.47689639971181,7.47689639971181,7.48992515341194,7.48944692711682,7.47852385412413,7.48599826300216
"CD4+_T_naive_RIC3",7.73664966673525,7.80874470849419,7.72548461469604,7.7471634619886,7.78665712208812,7.74929685823132,7.61647618452681
"CD4+_T_naive_RAB11FIP5",7.49555377829128,7.53082823457289,7.4803421526235,7.48303362709982,7.49499768756779,7.50313361152615,7.4971399846993
"CD4+_T_naive_SLC25A4",7.52072757404045,7.54162705871539,7.51113185929541,7.52158448186592,7.51334510747661,7.5273305994909,7.52792969137121
"CD4+_T_naive_KIF21A",7.50838102891909,7.51162650615496,7.53222752199036,7.53739558522663,7.52417703355997,7.54015785011871,7.52977316952904
"CD4+_T_naive_PCSK1N",7.50399394362498,7.5484308061314,7.49794472418201,7.55410734233131,7.53716746790951,7.55897460825717,7.54137670138994
"CD4+_T_naive_SLC22A17",7.50539674175646,7.53328039845001,7.52341829004123,7.51854691311355,7.47245703727681,7.52071274369626,7.49959214857642
"CD4+_T_naive_PLP2",7.76203401231832,7.68264722810155,7.88909299458053,8.08345164319146,8.12019534696636,8.10496976580427,8.20220233191258
"CD56+_NK_S100A6",8.25880786072143,9.45528552852165,9.39363930325895,9.62758151897382,9.03790842676638,9.98972348972698,8.22627601844455
"CD56+_NK_IDH3G",7.59996733498617,8.24789395350088,8.0796664381748,7.83914081783442,7.92451973041279,8.2643795325004,7.46236460806844
"CD56+_NK_STK16",7.51802962291438,7.52525706092159,7.49043718215531,7.70937229650818,7.71625131780002,7.71492693642407,7.8334913654841
"CD56+_NK_GLRX3",7.96667463234483,8.33690636116121,8.17509612481676,8.19311689722769,8.03035292198906,8.2643795325004,7.73573643131124
"CD8+_T_GZMBhi_TCEAL4",7.89774074979966,7.8922702770983,7.95178919079202,7.92297191933923,7.8922702770983,7.92372936227747,7.8922702770983
"CD8+_T_GZMKhi_CCDC65",7.69850367683033,7.77691904443115,7.77691904443114,7.82970837835929,7.77691904443114,7.85766220171639,7.77691904443114
"CD8+_T_naive_TMX4",7.40412120753837,7.36922631134245,7.44131379639676,7.55978754820085,7.61396074243882,7.5474912615028,7.5380197771492
"CD8+_T_naive_FLT4",7.30112986998313,7.29486290746618,7.31504603431233,7.30278068889625,7.29486290746618,7.30112986998313,7.29486290746619
"CD8+_T_naive_CERS2",7.56963181542246,7.6385170147952,7.57756557782607,7.5486330431938,7.48460688297508,7.57119384723991,7.54576231029101
"CD8+_T_naive_ASPSCR1",7.38325929918706,7.33840090933313,7.43660615101421,7.44391430152583,7.33840090933313,7.4071809318502,7.44007604557965
"CD8+_T_naive_MCUR1",7.39429982989494,7.27421252234971,7.40990151272057,7.41838161160989,7.35347729408846,7.34814000752129,7.43362188055584
"CD8+_T_naive_MAF1",7.60913924723039,7.5358340627239,7.77109078038843,7.75230740375896,7.5560892904901,7.69273689131426,7.67527164884205
"CD8+_T_naive_ATP6V0B",7.79609363702298,7.55133762046052,7.76567940144308,7.83861922485786,7.7506218656431,7.6482682170396,7.76146765927125
"CD8+_T_naive_ZRSR2",7.52095159348741,7.40209685739122,7.49233593944187,7.5133291086309,7.47451291631434,7.42043757222855,7.47952183105825
"CD8+_T_naive_YIF1A",7.42702029448332,7.33233948563261,7.45821064912276,7.39452419035369,7.40475554455572,7.36655688902679,7.39077527992516
